Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Sleep In Boxing Brunch Repeat - Women&#39;s Gym Crop Top,https://www.etsy.com/listing/1119403257/sleep-in-boxing-brunch-repeat-womens-gym,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,54 Mo.,3,0,16,Clothing,124,0,0.0,28120,"boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,sweaty girl glam,gym weekend apparel,workout crop top,karate shirt,muay thai shirt,kickboxing tank,boxing sweatshirt",boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,sweaty girl glam,gym weekend apparel,workout crop top,karate shirt,muay thai shirt,kickboxing tank,boxing sweatshirt
Less Work More Pilates - Women&#39;s Gym Crop Tank Top,https://www.etsy.com/listing/4339985300/less-work-more-pilates-womens-gym-crop,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,10 Mo.,2,0,7,Clothing,124,0,0.0,28120,"pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,less work,more pilates",pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,less work,more pilates
Leave It On The Bag Cropped Tee | Boxing Workout Shirt,https://www.etsy.com/listing/1096852304/leave-it-on-the-bag-cropped-tee-boxing,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,55 Mo.,10,0,59,Clothing,124,0,0.0,28120,"boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,sweaty girl glam,gym weekend apparel,workout crop top,karate shirt,kickboxing tank,leave it on,the bag",boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,sweaty girl glam,gym weekend apparel,workout crop top,karate shirt,kickboxing tank,leave it on,the bag
Feet in Straps What Like it&#39;s Hard - Pilates Crop Tank Top,https://www.etsy.com/listing/869792762/feet-in-straps-what-like-its-hard,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,67 Mo.,13,0,633,Clothing,124,0,0.0,28120,"pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,sweaty girl glam,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,pilates sweatshirt",pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,sweaty girl glam,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,pilates sweatshirt
Gloves On World Off - Women&#39;s Heavyweight Boxy Tee,https://www.etsy.com/listing/1855678141/gloves-on-world-off-womens-heavyweight,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,16 Mo.,2,0,66,Clothing,124,0,0.0,28120,"boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,gym weekend apparel,workout crop top,karate shirt,muay thai shirt,kickboxing tank,gloves on,world off",boxing tank top,boxing crop top,boxing shirt women,cute boxing shirt,boxing clothes,sparring shirt,gym weekend apparel,workout crop top,karate shirt,muay thai shirt,kickboxing tank,gloves on,world off
"Leg Day Workout Crop Top | Squats Deadlifts Lunges, Gym Apparel",https://www.etsy.com/listing/757278869/leg-day-workout-crop-top-squats,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,5,1,78 Mo.,91,0,654,Clothing,124,0,0.76,28120,"lifting tank top,lifting crop top,lifting shirt women,cute lifting shirt,lift heavy,workout motivation,gym weekend apparel,gym crop top,lifting competition,bodybuilding shirt,strength training,squats deadlifts,deadlifts lunges",lifting tank top,lifting crop top,lifting shirt women,cute lifting shirt,lift heavy,workout motivation,gym weekend apparel,gym crop top,lifting competition,bodybuilding shirt,strength training,squats deadlifts,deadlifts lunges
Seven in the Morning Squad - Women&#39;s Workout Crop Top,https://www.etsy.com/listing/4312426171/seven-in-the-morning-squad-womens,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,12 Mo.,0,0,15,Clothing,124,0,0.0,28120,"workout tank top,workout crop top,gym shirt women,gym weekend apparel,pilates tank top,barre tank top,boxing shirt women,yoga tank top,gym sweatshirt,hiit workout,gym crop top,morning squad,seven in the",workout tank top,workout crop top,gym shirt women,gym weekend apparel,pilates tank top,barre tank top,boxing shirt women,yoga tank top,gym sweatshirt,hiit workout,gym crop top,morning squad,seven in the
Kickboxer Workout Tank: Flowy Crop Top (I Do Yoga to Relieve Stress - Just Kidding),https://www.etsy.com/listing/1102585649/kickboxer-workout-tank-flowy-crop-top-i,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,5,1,55 Mo.,28,0,346,Clothing,124,0,1.45,28120,"gym weekend apparel,karate shirt women,jiujitsu shirt,kickboxing crop top,kickbox sweatshirt,i do yoga to relieve,stress just kidding,i kick stuff,kickboxer gift,muay thai crop tank,fitted gym shirt,workout baby tank,taekwondo crop top",gym weekend apparel,karate shirt women,jiujitsu shirt,kickboxing crop top,kickbox sweatshirt,i do yoga to relieve,stress just kidding,i kick stuff,kickboxer gift,muay thai crop tank,fitted gym shirt,workout baby tank,taekwondo crop top
Post Workout Wine - Women&#39;s Gym Crop Tank Top,https://www.etsy.com/listing/1317089823/post-workout-wine-womens-gym-crop-tank,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,0,0,43 Mo.,2,0,16,Clothing,124,0,0.0,28120,"workout tank top,workout crop top,gym shirt women,sweaty girl glam,gym weekend apparel,pilates tank top,barre tank top,boxing shirt women,yoga tank top,workout sweatshirt,gym sweatshirt,hiit workout,gym crop top",workout tank top,workout crop top,gym shirt women,sweaty girl glam,gym weekend apparel,pilates tank top,barre tank top,boxing shirt women,yoga tank top,workout sweatshirt,gym sweatshirt,hiit workout,gym crop top
I Enjoy Long Romantic Walks to my Reformer - Pilates Crop Tank Top,https://www.etsy.com/listing/940320219/i-enjoy-long-romantic-walks-to-my,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,0,0,0,5,1,64 Mo.,24,0,217,Clothing,124,0,2.3,28120,"pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,sweaty girl glam,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,pilates sweatshirt",pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,sweaty girl glam,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,pilates sweatshirt
