"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"divorce party",301,322,107,0,"","0","13","N/A"
"divorce party gifts",119,0,0,0,"","0","19","N/A"
"divorce party invitation",46,0,0,0,"","0","24","N/A"
"fling the ring divorce party invitation",43,0,0,0,"","0","39","N/A"
