Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Vintage Strawberry Farmers Market Comfort Colors Shirt, Gift For Gardeners, Backyard Farmer Plant Lover Gift, Retro Watercolor Fruit Design",https://www.etsy.com/listing/4480202194/vintage-strawberry-farmers-market,ecPrintWorks,https://www.etsy.com/shop/ecPrintWorks,18.00,1,34,0,1,0,2 Mo.,0,0,14,Clothing,34,0,7.14,216,"produce shirt,vintage fruit tee,tomato girl summer,cottagecore tee,homestead shirts,farmer shirt,summer vibes tshirt,botanical shirt,strawberry jam tee,berry lovers gift,comfort colors,gardener gift,farmers market tee",produce shirt,vintage fruit tee,tomato girl summer,cottagecore tee,homestead shirts,farmer shirt,summer vibes tshirt,botanical shirt,strawberry jam tee,berry lovers gift,comfort colors,gardener gift,farmers market tee
"Vintage Blueberry Farmers Market Comfort Colors Shirt, Gift For Gardeners, Backyard Farmer Plant Lover Gift, Retro Watercolor Fruit Design",https://www.etsy.com/listing/4481924311/vintage-blueberry-farmers-market-comfort,ecPrintWorks,https://www.etsy.com/shop/ecPrintWorks,18.00,1,34,0,1,0,1 Mo.,0,0,9,Clothing,34,0,11.11,216,"produce shirt,vintage fruit tee,cottagecore tee,homestead shirts,farmer shirt,summer vibes tshirt,botanical shirt,blueberry jam tee,berry lovers gift,comfort colors,gardener gift,blueberry lover tee,farmers market tee",produce shirt,vintage fruit tee,cottagecore tee,homestead shirts,farmer shirt,summer vibes tshirt,botanical shirt,blueberry jam tee,berry lovers gift,comfort colors,gardener gift,blueberry lover tee,farmers market tee
"Boater Retirement Graphic Art Tee, I’ll Be on My Boat Retirement Plan T Shirt, Retirement Boating Gift, Funny Boat Angler Shirts for Men",https://www.etsy.com/listing/1218513280/boater-retirement-graphic-art-tee-ill-be,MemorableExplosion,https://www.etsy.com/shop/MemorableExplosion,33.99,1,34,0,8,3,48 Mo.,7,0,315,Clothing,60,0,2.54,2043,"sailboat t shirt,boat angler tee,fisherman shirt,retirement tee,boater t shirt,graphic art tee,be on my boat tee,retirement t shirt,boating gift idea,boat lover shirt,funny t shirts,fishing vessel tee,retirement plan tee",sailboat t shirt,boat angler tee,fisherman shirt,retirement tee,boater t shirt,graphic art tee,be on my boat tee,retirement t shirt,boating gift idea,boat lover shirt,funny t shirts,fishing vessel tee,retirement plan tee
"Monstera Lover Shirt, Plant Skeleton tee, Comfort Color Shirt, Plant Shirt, Plant Gifts, Plant Lover Gift, Houseplants T, Skeleton Hands",https://www.etsy.com/listing/1534739840/monstera-lover-shirt-plant-skeleton-tee,TinasSweetTees,https://www.etsy.com/shop/TinasSweetTees,30.98,1,34,0,21,7,33 Mo.,210,0,1661,Clothing,64,25,1.26,9602,"skeleton t shirt,plant halloween,monstera,monstera lover,spooky plant,plant mama,plant lover shirt,monstera shirt,skeleton hands,plant heart,heart hands,skeleton heart,plant gifts",skeleton t shirt,plant halloween,monstera,monstera lover,spooky plant,plant mama,plant lover shirt,monstera shirt,skeleton hands,plant heart,heart hands,skeleton heart,plant gifts
"Funny Frog Plant Lover Shirt, Sarcastic Gardening Mom Tee, Plant Lady Gift, Comfort Colors Frog Meme Tee Women, Just One More Plant Tshirt",https://www.etsy.com/listing/4448880222/funny-frog-plant-lover-shirt-sarcastic,FluffnSassDesigns,https://www.etsy.com/shop/FluffnSassDesigns,21.99,1,34,0,2,0,4 Mo.,11,0,95,Clothing,34,0,2.11,2802,"plant lover gift,funny plant shirt,gift for plant lover,mom plant gift,garden lover shirt,funny gardening gift,green thumb gift,plant lady gift,funny gardener shirt,funny frog shirt,one more plant gift,crazy plant lady tee,houseplant lover",plant lover gift,funny plant shirt,gift for plant lover,mom plant gift,garden lover shirt,funny gardening gift,green thumb gift,plant lady gift,funny gardener shirt,funny frog shirt,one more plant gift,crazy plant lady tee,houseplant lover
"Boho Wildflowers, Flowers Shirt, Floral Shirt, Nature Lover Gift, Cottagecore Shirt, Boho Summer Shirt, Henri Matisse Floral Graphic Tee",https://www.etsy.com/listing/4358188688/boho-wildflowers-flowers-shirt-floral,DevangThreads,https://www.etsy.com/shop/DevangThreads,22.50,1,34,0,2,1,9 Mo.,3,0,52,Clothing,40,0,3.85,152,"wildflower boho,wildflower shirt,boho plant shirt,boho spring shirt,botanical shirt,spring floral shirt,spring flower shirt,floral art shirt,floral shirt,flower shirt,flowers women shirt,womens floral shirts,henri matisse",wildflower boho,wildflower shirt,boho plant shirt,boho spring shirt,botanical shirt,spring floral shirt,spring flower shirt,floral art shirt,floral shirt,flower shirt,flowers women shirt,womens floral shirts,henri matisse
"Herbal Plants Sweatshirt, Botanical Herbs & Wildflower Sweater, Cottagecore Forager Crewneck, Herbalism Nature Sweatshirt, Plant Lover Gift",https://www.etsy.com/listing/4434752525/herbal-plants-sweatshirt-botanical-herbs,HonoArchive,https://www.etsy.com/shop/HonoArchive,25.17,1,34,0,3,0,4 Mo.,12,0,120,Clothing,13,0,2.5,2339,"herbalism,wildflower herbs,herbology,herbalist gift,herbalist,plant lover gift,cottagecore clothing,botanical sweatshirt,garden sweatshirt,herbology sweatshirt,plant sweatshirt,nature shirt,wildflowers shirt",herbalism,wildflower herbs,herbology,herbalist gift,herbalist,plant lover gift,cottagecore clothing,botanical sweatshirt,garden sweatshirt,herbology sweatshirt,plant sweatshirt,nature shirt,wildflowers shirt
"Philodendron Sweatshirt, Vintage Plant Anatomy Botanical Sweatshirt, Houseplant Sweater, Indoor Plant Lover Gift, Nature Shirt, Gift for Him",https://www.etsy.com/listing/4450518542/philodendron-sweatshirt-vintage-plant,HonoArchive,https://www.etsy.com/shop/HonoArchive,24.89,1,34,100,2,0,4 Mo.,11,0,110,Clothing,13,0,1.82,2593,"philodendronful,plantful gifted,philodendron pothos,rare philodendron,houseplants,plant anatomy,plant dad gift,philodendron lover,plant lover gift,botany illustration,gift for him,botanical sweatshirt,nature shirt",philodendronful,plantful gifted,philodendron pothos,rare philodendron,houseplants,plant anatomy,plant dad gift,philodendron lover,plant lover gift,botany illustration,gift for him,botanical sweatshirt,nature shirt
Comfort Colours Orange Flower Bouquet Shirt Flower Lover T-shirt Retro Floral Tee Flower Top Plant Womens Shirt Gift for Nature Lover,https://www.etsy.com/listing/4439418247/comfort-colours-orange-flower-bouquet,DeanWardDesigns,https://www.etsy.com/shop/DeanWardDesigns,29.55,1,34,0,1,0,5 Mo.,0,0,5,Clothing,33,0,20.0,995,"watercolour art,orange bouquet top,botany print,spring aesthetic,garden vibe,creative wear,pastel style,gift for her,feminine look,nature lover,everyday casual,comfort colours tee,womens shirt",watercolour art,orange bouquet top,botany print,spring aesthetic,garden vibe,creative wear,pastel style,gift for her,feminine look,nature lover,everyday casual,comfort colours tee,womens shirt
"It Is Not Hoarding Shirt, Plant Shirt, Funny Cactus Gifts, Cactus Shirt, Succulent Lover Shirt, Succulent Lover Gift, Botanical Shirt",https://www.etsy.com/listing/4333825440/it-is-not-hoarding-shirt-plant-shirt,BlueSkyShirtCo,https://www.etsy.com/shop/BlueSkyShirtCo,8.40,4,34,100,17,3,10 Mo.,6,0,83,Clothing,13,0,20.48,4185,"plant shirt,funny cactus gifts,cactus shirt,succulent lover gift,botanical shirt,it is not hoarding,succulent lover,plant lover gift,farmer shirt,gardener gift,cute cactus shirt,funny succulent tee,gardener tee",plant shirt,funny cactus gifts,cactus shirt,succulent lover gift,botanical shirt,it is not hoarding,succulent lover,plant lover gift,farmer shirt,gardener gift,cute cactus shirt,funny succulent tee,gardener tee
Fanatical Botanical T-shirt Vintage Botany Shirt Comfort Colours Plant Lover Graphic Tshirt Cottagecore Tee Woodland Art Top,https://www.etsy.com/listing/4496730877/fanatical-botanical-t-shirt-vintage,DeanWardDesigns,https://www.etsy.com/shop/DeanWardDesigns,29.55,1,34,0,1,0,2 Mo.,1,0,8,Clothing,33,0,12.5,995,"botanical tee,vintage botanical,floral graphic top,garden lover top,nature lover top,botanical art top,cottagecore shirt,plant aesthetic,mushroom art top,fern illustration,plant lover gift,comfort colors,woodland shirt",botanical tee,vintage botanical,floral graphic top,garden lover top,nature lover top,botanical art top,cottagecore shirt,plant aesthetic,mushroom art top,fern illustration,plant lover gift,comfort colors,woodland shirt
"Tomato Sweatshirt, Botanical Fruit Crewneck, Cottagecore Vegetable Sweater, Vegan Aesthetic Clothing, Botanical Pullover, Plant Lover Gift",https://www.etsy.com/listing/4368059919/tomato-sweatshirt-botanical-fruit,HonoArchive,https://www.etsy.com/shop/HonoArchive,33.32,1,34,0,5,1,8 Mo.,44,0,482,Clothing,13,25,1.04,2593,"pomodoro sweatshirt,tomato girl,tomato shirt,aesthetic shirt,tomato sweatshirt,vegetable sweatshirt,cottagecore clothing,cottagecore sweater,y2k aesthetic top,tomato crewneck,fruit sweatshirt,plant sweatshirt,vegan gift",pomodoro sweatshirt,tomato girl,tomato shirt,aesthetic shirt,tomato sweatshirt,vegetable sweatshirt,cottagecore clothing,cottagecore sweater,y2k aesthetic top,tomato crewneck,fruit sweatshirt,plant sweatshirt,vegan gift
"Boho Floral Easter Bunny Shirt, Colorful Nature Wildflower Easter Day Tshirt, Cottagecore Botanical Faith Tee, Religious Gift Church Outfit",https://www.etsy.com/listing/4466411850/boho-floral-easter-bunny-shirt-colorful,SimplyFyzil,https://www.etsy.com/shop/SimplyFyzil,31.30,1,33,0,2,0,2 Mo.,0,0,9,Clothing,3,0,22.22,195,"cottagecore bunny,plant lover gift,wildflower bunny tee,boho easter shirt,vintage flower tee,easter egg bunny top,gen z floral gift,daisy bunny tshirt,botanical women tee,gardener gifts,nature lover gift,spring linocut shirt,trendy rabbit tshirt",cottagecore bunny,plant lover gift,wildflower bunny tee,boho easter shirt,vintage flower tee,easter egg bunny top,gen z floral gift,daisy bunny tshirt,botanical women tee,gardener gifts,nature lover gift,spring linocut shirt,trendy rabbit tshirt
